branch_id,date,atm_withdrawals,otc_withdrawals,is_holiday,is_payday,cash_deposits,is_branch_open
B004,5/10/23,18942.85,21388.36,0,0,13910.23,1
B002,5/16/25,30546.53,28107.67,0,0,25078.09,1
B008,11/15/18,19224.35,15983.56,0,1,20045.88,1
B002,8/22/23,34942.6,22944.67,0,0,19811.85,1
B007,8/7/22,13652.4,9779.2,0,0,6030.4,1
B002,5/27/22,29068.75,25932.18,0,0,30777.27,1
B001,6/10/23,24942.51,13789.87,0,0,12674.18,1
B005,7/5/23,27451.57,18628.72,0,0,18048.62,1
B002,7/13/19,28478.01,16950.76,0,0,14232.42,1
B004,12/22/21,18577.82,18373,0,0,17636.42,1
B005,10/19/22,19073.53,19933.54,0,0,14938.11,1
B007,2/1/20,12690.57,11362.48,0,1,8884.33,1
B007,9/5/21,12292.96,13068.45,0,0,12900.2,1
B005,11/26/21,29516.7,18350.49,0,0,19264.85,1
B004,4/19/24,25345.15,18994.9,0,0,13181.94,1
B004,12/25/20,0,0,1,0,4737.73,0
B004,11/8/20,10052.15,11068.84,0,0,10074.66,1
B006,8/8/19,17807.39,19307.15,0,0,16735.32,1
B004,7/27/23,19895.04,22453.3,0,0,10871.88,1
B006,6/12/22,11338.34,13948.43,0,0,11491.63,1
B006,1/6/25,24697.11,15436.91,0,0,21595.28,1
B002,12/19/23,31797.76,19975.33,0,0,24317.79,1
B008,3/10/19,12237.95,11524.22,0,0,12279.78,1
B008,8/28/22,15832.22,10024.87,0,0,10292.94,1
B006,4/5/19,30597.1,18536.58,0,0,22096.05,1
B005,10/31/22,23266.64,14671.49,0,0,12413.48,1
B003,4/7/23,32230.56,24573.72,0,0,14248.93,1
B008,7/14/21,15982.62,14605.25,0,0,6581.17,1
B006,4/17/23,11515.61,15078.29,0,0,12452.81,1
B001,7/14/21,30474.08,17095.24,0,0,21239.06,1
B008,4/11/24,15300.69,17902.27,0,0,14223.93,1
B008,11/4/19,14819.75,14068.06,0,0,7415.1,1
B006,4/9/19,18847.29,19120.88,0,0,19701.43,1
B002,7/17/25,30661.99,26994.48,0,0,30781.34,1
B007,3/19/19,15897.95,14488.34,0,0,10493.57,1
B007,5/10/23,15769.21,16026.68,0,0,8655.58,1
B001,9/2/23,24425.61,13350.11,0,0,16051.97,1
B004,11/22/18,0,0,1,0,8775.14,0
B001,10/21/24,23502.47,16038.36,0,0,11587.31,1
B001,11/7/20,0,0,0,0,13261.9,0
B008,7/11/24,19556.12,16098.38,0,0,11359.64,1
B007,1/19/19,13458.09,11408.8,0,0,13472.52,1
B007,10/2/24,16326.33,14610.38,0,0,11683.56,1
B005,6/13/25,24105.3,19666.74,0,0,22549.75,1
B006,11/13/18,14524.43,13911.01,0,0,8819.45,1
B006,6/20/21,16394.07,12396.34,0,0,10096.43,1
B004,4/13/21,21548.92,20607.48,0,0,20430.24,1
B007,8/1/20,13234.78,11292.48,0,1,13297.37,1
B001,9/13/23,21152.06,23651.69,0,0,13772.36,1
B006,2/3/21,21275.03,14222.19,0,0,14918.4,1
B006,3/5/20,22771.12,14145.83,0,0,15797.87,1
B001,7/16/20,19549.71,24714.45,0,0,14168.15,1
B005,3/11/21,18402.77,21569.25,0,0,18031.2,1
B003,6/21/19,27194.62,22290.08,0,0,17669.49,1
B002,4/8/25,25413.11,32549.66,0,0,22457.18,1
B007,12/23/20,20504.43,14803.83,0,0,13123.22,1
B004,8/1/25,23341.57,26735.83,0,1,22359.38,1
B002,7/12/23,28623.24,27813.52,0,0,27849.89,1
B001,2/7/24,27127.84,17119.92,0,0,16536.57,1
B006,11/6/24,23741.91,14341.8,0,0,15262.86,1
B003,4/27/23,28954.37,28119.04,0,0,19934.18,1
B003,6/11/20,30155.85,31608.56,0,0,23782.67,1
B004,6/14/19,,,0,0,15912.32,1
B004,9/7/19,15552.63,15206.23,0,0,12661.89,1
B002,12/11/19,33840.61,22306.49,0,0,24715.96,1
B004,4/29/20,24676.9,18741.7,0,0,13086.99,1
B008,11/10/24,12423.97,11991.94,0,0,10972.68,1
B007,1/15/20,21244.24,13778.87,0,1,12242.61,1
B003,2/1/21,31019.82,33411.38,0,1,16749.49,1
B002,8/13/22,23777.53,17442.07,0,0,18363.38,1
B003,3/12/21,31310.9,21970.03,0,0,25636.19,1
B001,9/20/23,20531.44,23198.13,0,0,22169.43,1
B007,7/5/20,14242.45,9093.07,0,0,11828.69,1
B002,9/11/19,33915.4,26152.79,0,0,16013.91,1
B001,7/9/24,26877.48,16342.18,0,0,13468.55,1
B005,11/6/23,21578.8,13790.88,0,0,11169.94,1
B003,5/20/25,24199.77,26352.83,0,0,22987.55,1
B005,4/29/20,24149.73,26532.82,0,0,24365.68,1
B006,5/20/22,17323.67,19618.62,0,0,13621.57,1
B006,1/30/23,20658.35,14183.94,0,0,17001.66,1
B008,4/21/19,13698.84,8432.36,0,0,9033.32,1
B001,4/8/20,22640.2,21454.33,0,0,21551.76,1
B005,4/16/19,16260.67,12791.45,0,0,12824.92,1
B002,9/14/19,29518.79,26758.21,0,0,21706.8,1
B002,1/25/20,20907.46,26377.24,0,0,20269.79,1
B006,1/26/22,23962.36,15681.01,0,0,10166.84,1
B002,6/4/19,33804.99,21754.5,0,0,25243.1,1
B006,5/5/22,20242.65,13415.83,0,0,12222.61,1
B007,11/1/20,16314.6,9976.9,0,1,7781.18,1
B001,7/5/22,32037.57,23415.92,0,0,24131.03,1
B001,12/30/22,25152.56,25301.7,0,0,16859.76,1
B004,2/18/23,18133.18,11255.52,0,0,7945.36,1
B002,5/19/19,24536.34,15198.95,0,0,18159.86,1
B006,1/2/22,17231.12,11687.68,0,0,9903.88,1
B001,4/29/25,27277.16,26441.02,0,0,25598.3,1
B003,12/22/19,18893.69,9856.65,0,0,12619.16,1
B008,6/2/25,15560.95,12487.6,0,0,12400.71,1
B001,6/16/22,33455,19440.22,0,0,14813.56,1
B008,11/4/20,20396.1,16343.16,0,0,15752.81,1
B001,2/7/25,22520.35,24377.41,0,0,11906.8,1
B005,6/3/22,21215.97,26884.24,0,0,13854.4,1
B006,7/25/24,20206.78,24046.07,0,0,14644.93,1
B003,11/1/19,39056.07,24478.53,0,1,19419.3,1
B005,4/21/21,23367.31,15309.77,0,0,17050.11,1
B001,9/27/19,30099.41,16585.59,0,0,18496.54,1
B007,10/4/22,22727.66,13858.35,0,0,17140.76,1
B005,8/25/22,22780.89,16304.82,0,0,19649.05,1
B007,7/28/21,20930.97,11284.83,0,0,17668.87,1
B003,7/26/19,27203.02,29487.32,0,0,22155.52,1
B005,12/12/21,16190.49,11279.57,0,0,10191.85,1
B003,8/12/21,37207.1,19664.2,0,0,30663.77,1
B007,9/23/19,14459.31,11025.07,0,0,11681.69,1
B005,5/1/21,17454.52,17435.44,0,1,11525.4,1
B008,12/10/22,13039.42,13757.75,0,0,10495.89,1
B004,5/21/20,24379.57,19043.03,0,0,19393.25,1
B001,5/1/20,23852.23,24222.94,0,1,26370.06,1
B001,7/10/19,18297.45,22231.77,0,0,14523.13,1
B008,5/20/24,19911.41,10206.72,0,0,12902.12,1
B003,7/1/24,37588.23,24732.9,0,1,21151.51,1
B006,7/29/23,11972.73,13905.78,0,0,13964.43,1
B007,7/13/20,14651.91,17301.77,0,0,15371.65,1
B004,9/4/24,21839.96,18061.89,0,0,19345.67,1
B008,10/11/18,15425.88,17177.39,0,0,16840.76,1
B003,7/22/24,31639.12,24476.8,0,0,16355.04,1
B005,2/8/25,18481.83,12207.63,0,0,13332.46,1
B004,1/24/19,25493.49,20869.29,0,0,14053.45,1
B008,7/9/25,,,0,0,14227.48,1
B001,3/19/23,12549.02,13148.35,0,0,8216.31,1
B001,1/27/25,17651.96,18724.63,0,0,9103.72,1
B002,12/3/22,24438.76,22490.49,0,0,17657.99,1
B001,3/8/23,27719.23,27091.88,0,0,17109.28,1
B008,12/27/18,17621.29,21192.05,0,0,20995.4,1
B005,10/27/22,23919.33,19191.94,0,0,21489.15,1
B001,9/12/19,24170.38,21229.32,0,0,10947.25,1
B006,7/8/23,16941.14,12103.91,0,0,10180.79,1
B006,3/3/23,16953.76,17880.98,0,0,12109.77,1
B008,10/18/21,0,0,0,0,16151.12,0
B001,1/18/20,60071.45,61935.86,0,0,49715.79,1
B008,12/30/18,13213.95,9544.18,0,0,7753.29,1
B008,11/24/18,13430.17,14703.23,0,0,12098.69,1
B004,4/15/19,19332.93,18956.99,0,1,17075.04,1
B006,3/7/21,10373.61,13025.44,0,0,5887.69,1
B002,1/26/25,29417.83,16914.62,0,0,16575.3,1
B008,6/11/19,13486.38,9491.77,0,0,9051.81,1
B006,12/24/22,10541.34,10771.1,0,0,7725.04,1
B006,12/17/19,16935.46,20133.22,0,0,19645.2,1
B006,7/22/24,23844.96,14512.29,0,0,12808.25,1
B005,3/10/20,24750.77,14871.61,0,0,17596.76,1
B003,12/29/18,18115.03,19326.56,0,0,19228.67,1
B001,5/22/22,15305.69,13817.44,0,0,8498.09,1
B006,10/3/22,16876.59,19634.46,0,0,17858.67,1
B007,11/10/18,15588.28,9664.7,0,0,7985.87,1
B003,1/24/19,31962.59,24105.05,0,0,24775.85,1
B003,12/27/20,18986.69,14542.98,0,0,11921.86,1
B002,12/20/21,27071.64,20790.31,0,0,14165.65,1
B001,4/19/19,24938.83,24939.25,0,0,21079.74,1
B002,12/8/23,40782.91,23959.69,0,0,25392.21,1
B003,3/1/19,32280.84,25054.38,0,1,18912.07,1
B002,3/30/21,27997.5,26127.91,0,0,18679.62,1
B006,2/6/25,23274.38,15094.83,0,0,16706.79,1
B005,3/28/20,21667.77,12582.24,0,0,17244.5,1
B004,5/11/23,22086.47,22633.2,0,0,15121.03,1
B008,9/15/22,15446.59,14676.41,0,1,8077.4,1
B007,10/3/21,9389.04,9674.37,0,0,8888.97,1
B006,3/29/24,29874.49,19586.84,0,0,13580.44,1
B007,11/12/20,17706.3,10860.12,0,0,15683.14,1
B006,9/19/19,21134.99,20010.58,0,0,16192.17,1
B004,10/29/24,24816.05,25716.65,0,0,16594.93,1
B007,5/3/21,16623.02,16254.96,0,0,16853.05,1
B007,8/1/19,24929.96,14944.26,0,1,12680.41,1
B007,3/8/21,15630.47,7643.55,0,0,11195.43,1
B004,5/6/22,22792.51,22379.74,0,0,17948.16,1
B001,10/14/23,15554.29,16671.62,0,0,16006.17,1
B005,5/30/20,21576.43,12117.36,0,0,14285.9,1
B008,12/6/19,20128.72,14359.39,0,0,11111.59,1
B005,7/15/22,26968.4,15660.15,0,1,17265.34,1
B008,12/24/20,20337.72,11453.53,0,0,13160.96,1
B008,5/2/23,18325.83,11805.13,0,0,13535.09,1
B008,4/8/25,17123.65,18027.82,0,0,11649.18,1
B004,4/5/25,16543.09,17770.47,0,0,14426.97,1
B006,6/18/19,22586.71,13119.49,0,0,16586.84,1
B006,8/4/25,21849.77,14234.49,0,0,14597.99,1
B007,6/30/20,21019.82,15827.92,0,0,14556.92,1
B008,2/11/20,14338.15,10188.98,0,0,7164.8,1
B001,2/23/23,23393.37,21239.86,0,0,20279.28,1
B005,2/14/25,23071.3,18156.99,0,0,21443.82,1
B005,10/7/19,18733.33,15027.71,0,0,10863.19,1
B001,6/30/22,31207.9,23123.85,0,0,18143.79,1
B003,1/3/21,16180.54,16711.55,0,0,16296.38,1
B002,3/20/25,36873.31,18177.85,0,0,23682.29,1
B004,5/3/20,14416.79,15581.86,0,0,10111.62,1
